station_id,latitude,longitude,elevation,declination,declination_model,comments,channels_recorded,start_time,end_time,sample_rate,n_runs,instrument,mth5_file,duration_days
VIC037,-37.50747,146.95169,1076.0,12.25,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-04-17 05:00:00+00:00,2014-05-09 02:39:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC037.h5,21.902776620370368
VIC038,-37.495595,147.52028,858.0,11.629,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2013-11-24 01:00:00+00:00,2013-12-31 09:59:59.900000+00:00,10.0,13,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC038.h5,37.37499884259259
VIC039,-37.509615,148.04359,347.0,12.708,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2013-11-24 07:00:00+00:00,2013-12-25 08:59:59.900000+00:00,10.0,7,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC039.h5,31.083332175925925
VIC040,-37.505215,148.52921,152.0,12.893,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2013-11-25 01:00:00+00:00,2014-01-13 15:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC040.h5,49.624998842592596
VIC041,-37.505045,148.99187,350.0,13.089,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2013-11-25 07:00:00+00:00,2013-12-31 10:20:59.900000+00:00,10.0,7,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC041.h5,36.13958217592592
VIC042,-37.501315,149.49786,182.0,13.291,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2013-11-26 00:08:00+00:00,2014-01-13 04:31:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC042.h5,48.183332175925926
VIC043,-36.97889,141.01562,105.0,9.5,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-06-13 08:00:00+00:00,2014-06-27 21:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC043.h5,14.583332175925925
VIC044R,-36.977718,141.469757,188.9,9.564,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2017-12-15 03:31:00+00:00,2018-01-20 23:59:59+00:00,1.0,1,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC044R.h5,36.85346064814815
VIC045,-37.01335,142.03305,184.0,9.995,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-04-15 07:00:00+00:00,2014-05-17 00:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC045.h5,31.749998842592593
VIC046,-36.994,142.53633,194.0,10.221,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-05-20 00:00:00+00:00,2014-06-09 00:59:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC046.h5,20.041665509259257
VIC047,-37.01701,142.9955,231.0,10.409,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-04-15 00:00:00+00:00,2014-05-15 05:44:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC047.h5,30.239582175925925
